model,roc_auc,pr_auc,brier,f2_threshold,f2_precision,f2_recall,f2_f1,at_0.5_precision,at_0.5_recall,at_0.5_f1,bootstrap_roc_auc_ci_low,bootstrap_roc_auc_ci_high
XGBoost,0.7884265988372093,0.22102743133930386,0.039949094425870184,0.05011694475461377,0.11764705882352941,0.75,0.2033898305084746,0.0,0.0,0.0,0.6868603158928691,0.879873477915531
SVM,0.7364643895348838,0.1823317038812884,0.04046434315395095,0.06890106141050475,0.13636363636363635,0.5625,0.21951219512195122,0.0,0.0,0.0,0.5960761018665997,0.8595508868287198
Random Forest,0.7564498546511628,0.11458526631036611,0.0417909464859146,0.04084043052335284,0.08196721311475409,0.625,0.14492753623188406,0.0,0.0,0.0,0.6569517188217963,0.8461277030150137
